candidate_id,review_url,start_seconds,end_seconds,verification_status,transcript_snippet
hcl_ivey_dwan_garrett_001,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=2330s,2330,2540,needs_manual_verification,getting and uh he just called here it looked like on the turn but obviously he's got the goods Phil here 104 I you know I wonder if that we might get a little bit of card coming back today um 2500 that kept 5050 doesn't really matter I don't know just seems a little odd that bet but he might have come out and bet and uh anyways gar got a free look and flop the flush yeah bill here but I was down so taking just a stab at it Garrett called would have gave me one then of course check fold at the en
hcl_ivey_dwan_garrett_002,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=2540s,2540,2750,needs_manual_verification,"a an high Ace to really continue on and bery wasn't going to call down to maybe chop or lose to Ace King or seven yeah [Applause] 1200 see Garrett here raising it up to 12 and Garrett had an up and down night I would say he was pained Nick but he did turn it positive he did a lot of tough spots he was in a lot of tough spots he navigated his way to was it a 20 or $30,000 win I think yeah from memory [Applause] yep s and we've got two people here with top pair so chrish who flatted out of"
hcl_ivey_dwan_garrett_003,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=2764s,2764,2974,needs_manual_verification,it call this is just an open limp by Christian lucky rays and look at this we got a just a raise with air here by chrish Lucky see bet the Flop with his Broadway draw as the pre- Flop Razer chrish raised with air and it goes check check on turn lucky picked up a flush draw and look at this the seven comes at the end oh man wow yeah we've all been there lucky turns the nut flush draw it happens so no lack of action here in the first few hands no you can count on it today's going to be Action Pack
hcl_ivey_dwan_garrett_004,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=3036s,3036,3246,needs_manual_verification,thinking process being pushed like that to call you know I am not great with the whole live tells thing and the whole top speech play and all that I just don't really say much but obviously it worked yeah it worked but like you said the safest thing to do especially with Garrett is to just turn into a statue [Applause] we saw Garrick get bluffed out of a Crazy Hand versus Mickey in the early part of the show in a four bet pot Mickey had Absolute Air Garrett had Ace King for top pair what do you 
hcl_ivey_dwan_garrett_005,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=3342s,3342,3552,needs_manual_verification,"was guys if you like what you see as always smash that like button please hit that like button for us it helps us tremendously so you're watching you're a fan you want to keep watching one second to do that just give me one pos by the way Ryan Felman told me here that the players even though the game is 100k minimum agre to allow for 41,000 coming in for 41,000 and Dr Eli has supported us he plays regularly he was excited to be in a game like this we're making the exception and he will make it ["
hcl_ivey_dwan_garrett_006,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=3603s,3603,3813,needs_manual_verification,"right off the bat yeah if we get the right flop we're we can see multiple bets go in here pre it's going to be interesting to see hold on a second ,000 excuse me yeah I was going to say berky made it 9,000 here so three a coming out of the small one all in in a call I told you Nick all in and a call Lucky Ain playing so 184 two times 184 right off the bat two times here we go which means the pot's going to be split to decrease the variance by half well Lucky's got straight draw now we see who's "
hcl_ivey_dwan_garrett_007,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=3828s,3828,4038,needs_manual_verification,slap Co well Dylan's going to three bet to 2500 we can't see cuz chips over his pretty fun game huh yeah this is I wish I can play not like every day huh but I was running bed last few weeks myed hop in a bigger game you can win it all back that's what I'm trying to do there you go I run ohing with Queen Jacka clubs flops a flk to 13k uhhuh so hopefully now I can run 40 to 500 easy in this game easy yeah any of us can that what I'm trying to ADV if iom actually yeah or I make 500 or I lose 40 I'
hcl_ivey_dwan_garrett_008,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=4089s,4089,4299,needs_manual_verification,they are but like they're awesome yeah I mean it's hard to call like Lebron West he obviously came with a few extra bullets in the holster today ready to play here with a gutter 206 I mean carony he's not they never making those guys aren they're role players be much older is like a baby ad is awesome yeah he's so good he's so young they couldn't get it together last you got them out of their flow man you from the south a man running point and you're out there talking I was thinking oh sweet tea
hcl_ivey_dwan_garrett_009,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=4300s,4300,4510,needs_manual_verification,"Call luy's not in the move the fold today Mark see if Dylan's going to fire the second Barrel here on this [Applause] blank and he is looks like he's going to use overb sizing here too 11,000 yeah he's he's here to put chips in today too they both are ready to go they're just getting warmed up looks like Dylan has I I would say from his play an experienced poker player using different sizings three three batting the right EAS and there he is har is the man of the"
hcl_ivey_dwan_garrett_010,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=4568s,4568,4778,needs_manual_verification,there and is he going to get called down here he's going to call down great that might do still work add to fire lucky a little farther over the edge uh I don't how some work but with this girl she just paid for it all for you know yeah that's what that's what we did for l j same with the wedding for like a whole week so Tom is here right here yeah Tom how do they do the uh uh no they pulled for when you uh they pulled for everyone and they pulled for you too we all oh yeah that's how you picked
hcl_ivey_dwan_garrett_011,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=4836s,4836,5046,needs_manual_verification,out Phil's going to check call here with the seven but Chris just got the best [Applause] Marcus his wife a couple times here really cool I think she like runs Larry Larry's wife [Applause] yeah Eli 800 to call I get half the M looks like a cool 200k right to Phil's left on the tray just a backup he's got
hcl_ivey_dwan_garrett_012,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=5087s,5087,5297,needs_manual_verification,the money here yeah so I think this is a call and actually Chris is leaving 22 24 25 left Chris is leaving some money on the table Yeah Dylan's going to call and he's going to just hold the river if misses but if he makes it he's going to get it all he's got 15 outs here and he just Whi all in yeah he's going all in F so chish there wins a big one but he actually left money on the table Mick and I talk about that a lot on Crush turn you don't want to raise to an amount where you're committed any
hcl_ivey_dwan_garrett_013,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=5360s,5360,5570,needs_manual_verification,"right poker Gods let's see an ace with some hearts so 116 here to the Flop well there's an ace they gave us the ace there's an ace so both players here with top pair Chris with the King of Diamonds here too iy with a couple back doors possibility running some straights here comes the BET 7,000 7,000 here see how much value Chris can extract Diamond here on the turn gives chrish the nut flush draw what a great turn for Chris Chris is not going to bet he's going to check check behind and there's t"
hcl_ivey_dwan_garrett_014,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=5572s,5572,5782,needs_manual_verification,no on the river someone could win this a fourer gutter about the only way and if not we're going to see a chop 20K in a call River a nine I was going to say that might make it go check check dock we'll see yeah I I believe so got and just let someone it's got to be scary go crazy for both players here for sure yeah roll it over what a river chop it up chop river ah this guy really got 9 10 Almost Let It Go the river I'm having flashbacks from yesterday I thought the river was all
hcl_ivey_dwan_garrett_015,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=5799s,5799,6009,needs_manual_verification,"me a little here it is I've been here and he's going to put him all in that's a 100K bet wow making yeah straight lucky over hands but that was a 100K bet there that stack of chocolate got a flush I get 100K for bery and bery say no so luy 119,000 now Garrett's a total Class Act and of course lucky has every right to see his hand but in poker etiquette when you say you're good just etiquette not usually just take the pot you one of those broke one of the experi wants that information let me Garr"
hcl_ivey_dwan_garrett_016,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=6059s,6059,6269,needs_manual_verification,"having de oh you have six dead so there's the straddle 800 okay I'll do so I's going to put up the live the live straddle to come back in we talked about that that do that he missed the blind so he's going to go, 1600 cut off straddle where am I here no that's a so there already it comes like this I've only ever seen that yeah and because we're playing 800 mandatory I comes in for 16 posting dead and Garrett's going to raise it up here to 32 and IV's going to get a price here so he's going to ca"
hcl_ivey_dwan_garrett_017,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=6277s,6277,6487,needs_manual_verification,"confused never mind 1000 we're on a double straddle round right now that's why that was I know that I was confused so dur flops a straight draw here Eli with a seven 4,000 Tom dwan going to raise it up with the Draw d Eli not going [Applause] anywhere turns a nine that's going to give dwan the best hand here [Applause] anyways 7,000 he's going to continue to fire here he'll take it down have a funny St this morning walking up uh getting hard my neighbor says to me uh where you going and he's a"
hcl_ivey_dwan_garrett_018,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=6526s,6526,6736,needs_manual_verification,"39,000 come all in all in there's the All In dwan's going to hope he's not up against a set of fives twice doesn't matter and we'll chop it up yeah it doesn't [Applause] was collection uh they do it once every 30 minutes for the drop it's going to be 23 so dur is going to have to pay the collection here positive 230 and we get a lot of questions about oh these players aren't tipping the dealers that is worked into"
hcl_ivey_dwan_garrett_019,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=6777s,6777,6987,needs_manual_verification,know that yeah he still get to work though D here going to raise with five Buton over top of Li Idol best player is the center fielder I don't even know his name he's actually a stud he hit like 330 how about a set of fives raising me I don't bother remember his name next [Applause] see if Lucky gets involved here with the wheel draw he [Applause] does n [Applause]
hcl_ivey_dwan_garrett_020,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=7020s,7020,7230,needs_manual_verification,yeah so Berk's going to bring in here for a raise with nine Dylan going to three back king queen [Applause] off ber here is going to get involved he's going to defend I lost 15 in the game with him Bob you I I was just dunking on Dylan has flopped top two probably not going to get a ton of action here though 65 6500 yep Matt's just going to release it I wanted to ask you a question end of October like about that whole thing cuz I've talked about this many times where lucky wanted to ask to see G
hcl_ivey_dwan_garrett_021,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=7252s,7252,7462,needs_manual_verification,this one together here this can be a real tough call but with a player like lucky he may just make it he nice call there by chis you got it then mock your hand I want to see what you got okay there we go again yes there we go again the other way it's the reverse the [Applause] etiquette sorry thank you appreciate thanks thank you thank you so so there chish is basically like okay I'm not going to ask to see your hand but you're going to have to muck it or show it if you want to see my hand k r i
hcl_ivey_dwan_garrett_022,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=7472s,7472,7682,needs_manual_verification,time maybe they make you wear B they call the camera every once in a while and then they just don't pay just pull it down did you get a vaccine H did you get [Applause] really you're getting old could get much sleep I went to play um last oh really big big is bunch all over the world just like a good time good time with friends you know yeah
hcl_ivey_dwan_garrett_023,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=7692s,7692,7902,needs_manual_verification,[Applause] call diamonds here on the turn this gets better berky doesn't have a diamond [Applause] another scary run out this going to do it but Lucky's going to come out and bet here with a queen5 on this run out here three diamonds straight to the four and he'll take it [Applause] down Casino the ACF in France in Paris not sure if he's going to get called by wor there I got robbed in you did I think
hcl_ivey_dwan_garrett_024,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=7915s,7915,8125,needs_manual_verification,"tournament I might call this is a tournament ship so uh in France most of the cash ship are these uh ceramic chips made by B&amp;G these are clay frish having another good day can we get the USC it's got the top hat from cane on top where you can see yep up 115,000 so if you look at the edge you'll see cane going through it oh yeah um well like we talked about G started with 100 and we said in no time it be at 4 500,000 if that if at a minimum"
hcl_ivey_dwan_garrett_025,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=8143s,8143,8353,needs_manual_verification,check back a sign and just folds on a pair board interesting the new Tom dwan Tom dwan [Applause] 2.0s yeah but even like outside of the game like before and after the game like yeah everything it's like a [Applause] super freaking leg what' you say Harry car I don't even know who that is up like back he the best voice Garr here with a couple
hcl_ivey_dwan_garrett_026,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=8354s,8354,8564,needs_manual_verification,"[Applause] seconds raise it up 23,000 there it is 23,000 Dylan even said I'm going to call to and dice you to a before backat D's got a real hand here though is he going to shove I don't think so what's he thinking well this is why you can't you got to watch out you can't call through bets cold in between with an aware player obvious he just looks like he's got something on his mind but I'm I don't know I'm weird that way I like to really tune into well he's going to get snapped off if he were t"
hcl_ivey_dwan_garrett_027,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=8597s,8597,8807,needs_manual_verification,to use my brain at all and Dylan's used a lot of over sort ofs on the turn so this would be interesting on the it doesn't feel like the person's talking they need to invest more in the you don't think that has a lot of aceing in here think especially for English the market com but it's so hard though to get the nuances of someone who's kind of acting and saying something in language well I feel like they don't the people dubbing are just transl like they're not they're not acting cuz you don't y
hcl_ivey_dwan_garrett_028,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=8807s,8807,9017,needs_manual_verification,going to make the call with the 7 five of clubs here out of the small blind let's see if Dr Eli here might be able to win this one with the betat Garrett also calls with the Jack [Applause] n yeah Eli cats and takes it down yeah there you [Applause] so we got five more hours here tonight love it they fly by y with this game like
hcl_ivey_dwan_garrett_029,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=9095s,9095,9305,needs_manual_verification,nice hearts on the river good play like 18 holes at night it's pretty cool yeah Paul start golf yet or no no I'm working on that [Applause] 32.3 million tournament earnings and what could have been for him in 2003 he didn't get that bad beat against Money Maker but then again we might not be here that's if money had that's right he was an ingal part of Poker yeah and
hcl_ivey_dwan_garrett_030,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=9424s,9424,9634,needs_manual_verification,or something right yeah it was weird that they did it that if you bet it it was only you could only win if they knock if someone got knocked out [Applause] yeah million who made 100 he made 100 I was gonna say cuz the other Woodley or whatever that was like a nothing fight aim fight I'm saying it was like a nothing I assume no money fight I mean I think Jake made a good amount of money it was Woodley's biggest payday it was seven figures for
hcl_ivey_dwan_garrett_031,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=9660s,9660,9870,needs_manual_verification,my what lucky I think put Dr Eli straddle out that last hand and and and floated him half of it and then took like eight or 10 grand off him oh he actually put it put it out for him yeah I think he put it out and gave him half of it do it and then uh committed Dr Eli to the hand and uh didn't work out Dylan's back I played in a home game in La one of the very few home games or Trojans you talking South Carolina or was that the USC [Applause] game there's two USC games Universe South Carolina you
hcl_ivey_dwan_garrett_032,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=10014s,10014,10224,needs_manual_verification,you Dr Eli here with Ace King and dur going to call with King Jack who look at this float here from dur King Jack no Spade Eli's in the lead here with Ace King with the Ace of Spades [Applause] and I assume if this goes check check dur is planning on bluffing but Eli's not going to give him a chance power poker there Y for the [Applause]
hcl_ivey_dwan_garrett_033,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=10228s,10228,10438,needs_manual_verification,"realize he's going to probably have to go off the river right if he gets called no [Applause] shy there's the call 75,000 here yeah this is ballooned up we could see some onliners come out here too that's that is up length oh and lucky just checked it back instantly ni wow wow it's a good [Applause] check it's probably not going to fold leaning toward not"
hcl_ivey_dwan_garrett_034,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=10460s,10460,10670,needs_manual_verification,[Applause] flop both players probably not super [Applause] ecstatic not the joint
hcl_ivey_dwan_garrett_035,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=10682s,10682,10892,needs_manual_verification,go oh look at this flop two Spades and top set wow holy smokes lucky who's the pre- Flop three better with Jack drills top set berky's got the nut flush draw and Garrett with a combo draw with Queen eight of spades Luck's going to bet 10 six here wow put your seat belts on three oh nice hold there's the call here from bery over to Garrett with the combo draw combo Street draw flush draw but is he coming over lucky I think lucky looks kind of strong but we'll see
hcl_ivey_dwan_garrett_036,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=10906s,10906,11116,needs_manual_verification,[Applause] Dyan going to raise it up here to 12200 78 of Hearts going to get some action here from [Applause] dur and chrish is also in here with diamonds so couple diamonds cans in here bery going to come in between [Applause] three so here we go again five [Applause] ways [Applause] and dur swwa the best of it here with a
hcl_ivey_dwan_garrett_037,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=11141s,11141,11351,needs_manual_verification,"old dur got the best hand here Chris the pre- Flop Razer though he's going to see [Applause] bat wow and Tom just Ms it just m it there obviously strong CED into multiple players chis is going to win it there with [Applause] fives take a look here at our stats you can see dur is up 127,000 Dylan our big loser of course that huge hand between Dylan and dur with the back Jam threes versus Ace King suited run it once and dur won it take a look here at the chip count Ivy 312,000 of course Garrett is"
hcl_ivey_dwan_garrett_038,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=11354s,11354,11564,needs_manual_verification,"Trasher I here with sevens going to raise over the top of some lims with six4 clubs Dr Eli calls with eights luy's in there and we've got our about $11,000 pot here going for [Applause] Wes I go and lucky SLO the best of it here with ace5 just whole lot of nothing Dylan not going to see B [Applause] here 44 [Applause] 4400 [Applause]"
hcl_ivey_dwan_garrett_039,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=11636s,11636,11846,needs_manual_verification,or something was pocket aces and Phil iy has a king C off versus button but Ivy does not put the three B in he just calls what we could have seen Ivy just on here with a why do you think I got a bring in lucky and Eli it's definitely not standard L position so four [Applause] ways and lucky is the only one that flopped a piece of this with a nine yeah iy just [Applause] folds so lucky here with the nine in a back door Spade draw picks up Spade yeah
