candidate_id,review_url,start_seconds,end_seconds,verification_status,transcript_snippet
hcl_million_dollar_late_001,https://www.youtube.com/watch?v=9QH0QSCOP8g&t=3606s,3606,3816,needs_manual_verification,I think only call is best here [Applause] I think Tom was worried they were too deep to get the money in on the turn the hands that 120 aren't Bluffs they could take this lion are of course slow played pocket kings pocket sixes which just made quads and
hcl_million_dollar_late_002,https://www.youtube.com/watch?v=9QH0QSCOP8g&t=3851s,3851,4061,needs_manual_verification,Doug doesn't want to call the clock here because so he just has to sit there tortured even the people on the painting behind Tom have fallen asleep [Applause]
hcl_million_dollar_late_003,https://www.youtube.com/watch?v=9QH0QSCOP8g&t=4006s,4006,4216,needs_manual_verification,do you gave anything away anymore I didn't call it the Wesley yeah because of me yeah maybe headphone maybe headphones [Applause] dog what a hint it's it's a weird song I am adding on some money [Applause] we're gonna get 600k how many videos have you made a song that was the with payback I like this Doug POG the turn clock calls like a little weird man it's like it's not full but you're in position yeah these two used to have beef Doug and Tom there's two combos the 672 the king six suits
hcl_million_dollar_late_004,https://www.youtube.com/watch?v=9QH0QSCOP8g&t=4164s,4164,4374,needs_manual_verification,oh my [&nbsp;__&nbsp;] gun he can't even bother to raise you because I like this one isn't King he thinks you got maybe sixes six seven suited or five Kings you would have known earlier I agree yeah
hcl_million_dollar_late_005,https://www.youtube.com/watch?v=9QH0QSCOP8g&t=4317s,4317,4527,needs_manual_verification,it's a straddle it's not automatically okay a thousand big lines Rob this is fun he couldn't be bothered to Sticky bought it on the end because he knew it falls yeah he's just like whatever it couldn't be bothered yeah no my my reasoning I think he has less juices and like six two suited A6 I think he's like slightly nervous if he's getting shoved off a little less likely to clock the river no matter what I know you say your balance but I don't think you've played many two million dollar pots in
hcl_million_dollar_late_006,https://www.youtube.com/watch?v=9QH0QSCOP8g&t=4475s,4475,4685,needs_manual_verification,puts in the call 14 000 and change in the middle heading into the turn could I get a coffee too Derek gives up like an iced Americano or just a regular coffee wrong person it is good Doug you guys are even now yeah he won one you won one [Applause] I really wasn't trying to be mean just just sit like straight and just ice we've seen a lot of players playing this shoe huge buy-in game differently than
hcl_million_dollar_late_007,https://www.youtube.com/watch?v=9QH0QSCOP8g&t=4641s,4641,4851,needs_manual_verification,let's give him a thousands Nick airball raises to 3 000 with Ace Queen suited that's from Doug that's from Doug yeah it's a thousand that this game is from that's from Doug but but he didn't get to decide Doug's in there with eight seven officer classical yeah he's put in the call it looks like good for him Dirk calls with king queen off in the big blind he's a very unlucky hand oh three on the river no one flaps anything three in the river would be nice yeah I get some cards I pulled man three 
hcl_million_dollar_late_008,https://www.youtube.com/watch?v=9QH0QSCOP8g&t=4891s,4891,5101,needs_manual_verification,Hans has the range Advantage as the pre-flop razor but he shuts it down you hear I'm not scared and you said nice good job yeah I know but I'm not worried about him having sevens okay if he has sevens he gets the money I'm worried about like Ace King you know maybe I can make him put this King yeah maybe yeah yeah where's his body language this was [&nbsp;__&nbsp;] I hope he doesn't call like this Wesley just doesn't look like he's got the [&nbsp;__&nbsp;] what does he just look like
hcl_million_dollar_late_009,https://www.youtube.com/watch?v=9QH0QSCOP8g&t=5041s,5041,5251,needs_manual_verification,said okay I'm gonna get some action he's gonna call I think base 75 is like juicy how much you make it 270 280. all the time let me just do what I want [&nbsp;__&nbsp;] come by these Kingdom it's a bracelet cooler how often do you get Delta three prefab six you can share a sheep many times you can only cut it once God is it skin oh this time it's Rob with the ace3 suited okay I am and this time it's timely aggression
hcl_million_dollar_late_010,https://www.youtube.com/watch?v=9QH0QSCOP8g&t=5284s,5284,5494,needs_manual_verification,not a great flop for hands that's like saying I I let's go I couldn't have paid 600k or 500k just ensure no more needling yeah in fact we all would have started giving you the absolute whale treatment we were like hey get up get a medic yeah like uh does Doug need a coffee it doesn't need like anything you need money you're not getting the psychiatric if you bet called The River WPT Global is your destination for big Sunday tournaments you'll find tournament buy-ins at all levels and huge guaran
hcl_million_dollar_late_011,https://www.youtube.com/watch?v=9QH0QSCOP8g&t=5435s,5435,5645,needs_manual_verification,[Applause] folds around to oh sorry Tom puts in the call with five four obviously and Rob just calls in the big line with poop you know I think you showed some restraints yeah I'm just gonna flush draw for Wesley little pair for Tom I like this one over cards plus back door Flesh drop for Rob yep I thought you played one percent of hands or is it gotta believe Wesley will call and Tom look folding guess what Rob will have the best hand
hcl_million_dollar_late_012,https://www.youtube.com/watch?v=9QH0QSCOP8g&t=5588s,5588,5798,needs_manual_verification,that's kind of hand that wood check raise that flop I mean you were pulling a dog so come on what'd you do you do that no what did you done later definitely later we'll talk about what happened later you'll understand no fishes [Applause] Tom Bubba said uh he'll text me after his surgery tomorrow and see how he feels for three years he might be on clean stuff or something right we yeah but Bubba's a cat yeah let me know how
hcl_million_dollar_late_013,https://www.youtube.com/watch?v=9QH0QSCOP8g&t=5756s,5756,5966,needs_manual_verification,yeah Doug would have just bet 10 000 more on the river again that would have been the biggest part in the history of Hustler Casino Live you know maybe yeah [Laughter] slurred notes yeah Rob said to Hans he goes seriously you don't fold sevens there do you That's a classic Rob dude I love Rob's needles [Applause] you guys are talking about after normal question here and everyone thinks she needed it Rob with three bet on the button with Jax Doug's gonna Defenders pretty good flop for 10-8 suited
hcl_million_dollar_late_014,https://www.youtube.com/watch?v=9QH0QSCOP8g&t=5908s,5908,6118,needs_manual_verification,and Wesley's gonna laugh at me when I just called the river and he's like how did you not shove I said I like it of course it's keeping succeeded Facebook either got pocket Sixers or he's looking you know Tom so he's not talking about seven six suited right King six suited I got something yeah I don't think seven six suited was available no obviously not but I think I might re-raise return I could be wrong I'm saving some money on that so it depends on whether we raise sizes the whole thing my c
hcl_million_dollar_late_015,https://www.youtube.com/watch?v=9QH0QSCOP8g&t=6064s,6064,6274,needs_manual_verification,I'm not finished puts in the call yeah he just kept making comments and then would laugh at me and flip over the nuts tens are good [Applause] for like many years absolute clown very good run out for hands it's gonna be tough for Nick airball after hands that's this River
hcl_million_dollar_late_016,https://www.youtube.com/watch?v=9QH0QSCOP8g&t=6214s,6214,6424,needs_manual_verification,this million dollar game is proudly sponsored by only poker the all-in-one app for poker players and enthusiasts developed by ddl games with only poker you can stay connected with the latest news and events in the world of Poker Discovery exciting poker games and engage in vibrant discussions within the poker Community join only poker now to get full details on how to participate in the million dollar game giveaway and enjoy all the exciting features the app has to offer sick
hcl_million_dollar_late_017,https://www.youtube.com/watch?v=9QH0QSCOP8g&t=6369s,6369,6579,needs_manual_verification,the perks when you do five in a day Hank puts in the call this pot has ballooned to a hundred and twelve thousand Nick needs a king might have been able to win on an ace River as well this is a bad River card check for air ball oon and a wise give up I think [Applause] see all the players signing the felt they've had a different felt each night of the million dollar game time passes and like I'm in the hand I don't want to say anything to giveaway tells and one day I decided even if I'm in the h
