candidate_id,review_url,start_seconds,end_seconds,verification_status,transcript_snippet
hcl_ivey_persson_001,https://www.youtube.com/watch?v=pR_PWVGUMVQ&t=2149s,2149,2359,needs_manual_verification,is a pure Bluff for KING5 offsuit last night and got Andy to fold Kings he bet about up 380 000 between about a 80 000 pot something like that there's Mike ax good to see Mike X playing at these Stakes good luck to him he's been on the show many many times he might have he may have even played more than Garrett and there's another recent fan favorite the happiest guy in the world rusuke he loves poker so much if he's not tired after the stream he'll go and play five that is a true story that's h
hcl_ivey_persson_002,https://www.youtube.com/watch?v=pR_PWVGUMVQ&t=2339s,2339,2549,needs_manual_verification,blind versus blind looks like to straddle today big blind into third line Robbie is the king Jack and Annie hits but Robbie's got a gun three times yeah and I think I won one of those things you did yeah I wish we would have done that yesterday that's for the side eye yeah yeah keep that [&nbsp;__&nbsp;] to him yeah I like I like straw oh and I like jumbo and Robbie's gonna double barrel here on the ace but she doesn't bet that much and he's just gonna let it go and he's firsthand goes to Robbie
hcl_ivey_persson_003,https://www.youtube.com/watch?v=pR_PWVGUMVQ&t=2516s,2516,2726,needs_manual_verification,that way yeah I got a plant-based sleep so Garrett here gonna raise it up with eight Andy calls out of the small blind which is going to bring in the big blind as well Andy here is gonna bet out here we go and actually rusuke is not in the hand there heads up there he is so Garrett with the best of it right now Phil Ivey nice to see you any of you guys like me that have been into poker for a long time remember
hcl_ivey_persson_004,https://www.youtube.com/watch?v=pR_PWVGUMVQ&t=2722s,2722,2932,needs_manual_verification,Carson is going to bring it in for a raise with seven views off oh wow they live there now no he goes everywhere like that R.I.P getting in there with King four so we're gonna see some action here tonight and rip flops the nut flush draw with the off suit King [Applause] he's got a royal draw a one card Royal [Applause] and he will bet and take it down [Applause]
hcl_ivey_persson_005,https://www.youtube.com/watch?v=pR_PWVGUMVQ&t=2928s,2928,3138,needs_manual_verification,Ivy's hands not populating but he was the pre-flop razor so 1 000 here from Garrett with the computer hand suited and now Garrett makes the queen High flush [Applause] still don't know what Ivy has here everybody play along with Ivy and he's going to make the call so I would assume he's got a high diamond or an over pair here river is a seven so puts a one-liner out there to a six as well which is gonna make an over pair even harder to call with Phil hag Aces Kings something like that
hcl_ivey_persson_006,https://www.youtube.com/watch?v=pR_PWVGUMVQ&t=3096s,3096,3306,needs_manual_verification,Mike actually you're gonna make a raise with Jack tunnel hearts and Eric Parson here Ace King off out of the small blind and he just calls so just a call here with Ace King [Applause] check and Mike it's a piece of it and goes check check and that's a not a great card here for Mike X because Eric now with Ace King less likely that he's gonna have a king and I think Mike is going to lose some money here in this hand 3 000 here from Eric and a call
hcl_ivey_persson_007,https://www.youtube.com/watch?v=pR_PWVGUMVQ&t=3247s,3247,3457,needs_manual_verification,bet pots last night Andy had Kings both times here Andy putting a little Bluff on it and here we go 35-8 I just always tell the truth that people don't get it and that is probably one of the worst flops for Ace King of Clubs here Queen nine seven but Andy does not see back here Andy has the best hand you wonder if he thinks he's got to turn his hand you know Bluff me should I check it down [Applause] and it's gonna get checked all the way down and Andy's gonna win it there cold format with pocke
hcl_ivey_persson_008,https://www.youtube.com/watch?v=pR_PWVGUMVQ&t=3400s,3400,3610,needs_manual_verification,Andy off of ace high just in case he had it this isn't a four bet pot and I believe it was Jack's seven Jack Jack seven three jack and a cold for that pot one of the more amazing pots we've seen on this show Mr rip you're gonna start this one off with a limp [Applause] just your average limped pot at a 100 200 400 game but Ivy or excuse me Andy is not gonna let this get limped around he picks up Ace clean he makes it 3K Ivy
hcl_ivey_persson_009,https://www.youtube.com/watch?v=pR_PWVGUMVQ&t=3579s,3579,3789,needs_manual_verification,big game with Keating when he lost with Aces against jrb here he calls with Queen for our clubs Nick ratish is so good at recognizing that sort of short-term game Flow at the table and the Eric flops a pretty big hand here though with the queen four club's parent flush draw [Applause] rip that's 2400 air calls and Brewsky's got top pair so he calls too and rip hits his gut shot so he's got the straight with the ace now
hcl_ivey_persson_010,https://www.youtube.com/watch?v=pR_PWVGUMVQ&t=3758s,3758,3968,needs_manual_verification,Mike had sixes there didn't over call chose the aggressive route and wanted nicely played there by Mike online is way so different too from like just like everything [Applause] foreign [Applause]
hcl_ivey_persson_011,https://www.youtube.com/watch?v=pR_PWVGUMVQ&t=3930s,3930,4140,needs_manual_verification,was like that means that every time it came to you you're all in the combine pots I wish I could see it live but I never saw it yeah but I did a lot of it because um because then you're not like sitting here yeah okay by the way Garrett just threw that so we've seen a couple people three bet
