candidate_id,review_url,start_seconds,end_seconds,verification_status,transcript_snippet
hcl_ivey_persson2_001,https://www.youtube.com/watch?v=7zPe4CYMjRE&t=2059s,2059,2269,needs_manual_verification,starting out at and where it is they're going to put the 800 straddle on and keep it on yeah I mean was there any doubt about that uh not really no uh Phil Ivey yes that Phil Ivey the goat himself arriving very shortly and uh we'll get into all these players in just a moment normally we only have one commentator in here but we had to fight for this one we both wanted it so bad so you got to deal with both of us tonight yeah we arm wrestled for it and it was a draw yeah yeah some little six-year-
hcl_ivey_persson2_002,https://www.youtube.com/watch?v=7zPe4CYMjRE&t=2438s,2438,2648,needs_manual_verification,raises 1600 Dustin defense Ace eight suited against Kings Advantage goat [Applause] and the players are talking gigaf and myself will do our best to kind of lay out make sure you can hear him yeah I thought we were going to have a conversation Garrett said where'd you come from I was waiting for it Phil didn't even look at him nope playing these Kings very slowly yeah he checked the Flop decided to check the turn as well if you are new to our show the white chips are 100 green chips are a thousa
hcl_ivey_persson2_003,https://www.youtube.com/watch?v=7zPe4CYMjRE&t=2687s,2687,2897,needs_manual_verification,4 500. get raised from Jr Dustin three bets to 4 500 with Ace King Jr is going to call [Applause] another one where I expect the worst hand to win yeah not a not a real good flop for a skiing of clubs you know and range advantage to the guy who opened and just called the three vet but Jr doesn't bet the turn and thread Jr gives that one up and takes it home a small one once again thanks for joining us our Casino live it is the middle of the week it is hump day and we've got quite a game in store
hcl_ivey_persson2_004,https://www.youtube.com/watch?v=7zPe4CYMjRE&t=2855s,2855,3065,needs_manual_verification,yeah so the last guy to be aggressive before the flop is going to do well on a king High flop as opposed to the guy who just called or opened and called and so when it's low carbs the guy who opened and then called the three bet he's gonna have the range advantage but on King six deuce and he's just gonna win that pot due to his aggression before the Flop even though he had an airball [Applause] Andy with another raise he came to play as well Ivy makes the call and it's Ivy Andy round two [Appla
hcl_ivey_persson2_005,https://www.youtube.com/watch?v=7zPe4CYMjRE&t=3036s,3036,3246,needs_manual_verification,there's nothing here Garrett will call not me I would just check to try to get the flush and hope he'd call the river Garrett was the opener he checked twice it's an automatic call and oh Garrett you're calling with King Jack or something I don't know he went I could read that from Eric huh [&nbsp;__&nbsp;] knew he had a king the guy gave you too much credit I said like King 10. yeah it wasn't even that way
hcl_ivey_persson2_006,https://www.youtube.com/watch?v=7zPe4CYMjRE&t=3264s,3264,3474,needs_manual_verification,still lost the hands all right he lost the minimum post flop just for those of you who are regulars in Austin Casino Live normally we do not have time chips on Wednesdays but because it is such a big game players have 30 second shot clocks and they do those little orange time chips which give them an extra minute to think when they need it and you get one per hour that you're scheduled to play which I think is five hours tonight but you never know what these guys sometimes it's more I'm I normal
hcl_ivey_persson2_007,https://www.youtube.com/watch?v=7zPe4CYMjRE&t=3419s,3419,3629,needs_manual_verification,I appreciate you playing around with me huge flop for Eric yeah look at that top pair flush draw Andy's gonna uh he wants to see the turn [Applause] now two pair 600. [Applause] now let's get into real money huh get into real money now top two plus the nut flush straw and then Andy is going to let it go big hands yeah very nice hands [Applause] it's crazy I think you just stop right there probably needed I'm actually leaving for
hcl_ivey_persson2_008,https://www.youtube.com/watch?v=7zPe4CYMjRE&t=3597s,3597,3807,needs_manual_verification,year just getting better and better at this a call in the game yeah man got a big hand here uh Mr Seven deuce in there with top pair and a flush draw Phil Ivey now hits a seven to go along with a flush draw but he is in bad shape yeah he's gonna lose some chips on this River card oh when the flush gets there the question is will he raise this bed it's a slight over bet yeah so we're smaller I think he would I think he necessarily will raise here although he's oh he's gonna race [Applause]
hcl_ivey_persson2_009,https://www.youtube.com/watch?v=7zPe4CYMjRE&t=3750s,3750,3960,needs_manual_verification,don't want to just call and bring Dustin in as well and thousand over to Ivy third and he is going to unload he puts the four bed in there Dustin quickly lets his hand go Garrett's out of there quickly too I bet Garrett lets it go as well and Ivy picks up eighteen thousand dollars without seeing a flop [Applause] just casually made it 50 000 pre-flop on a Wednesday night on Hustler Casino Live uh booked a loss while we had it on money-wise yeah in life it was a win I think you have to give it ba
hcl_ivey_persson2_010,https://www.youtube.com/watch?v=7zPe4CYMjRE&t=3915s,3915,4125,needs_manual_verification,[Applause] get a raise from rusuke and Jr has picked up Ace Jack Spades out of the big blinds Eric had limped in in a cut off yeah interesting play [Applause] good three bad here with Ace Jack Suited [Applause] we'll likely squeeze out Eric and rusuke that's the Jr I was alluding to [Applause] and there's a smile I was alluding to [Applause] yeah what's in that Sprite can [Applause] in life I mean that guy who loves it more he this game will end by the way
hcl_ivey_persson2_011,https://www.youtube.com/watch?v=7zPe4CYMjRE&t=4189s,4189,4399,needs_manual_verification,so Garrett that's 7K into 9300 just gonna call Queen 10 or 5 for Garrett instead it's an eight back door flush comes home [Applause] because you're gonna see a bet check raise and then the question and a fold [Applause] ing it you see the sizing on these there's the bet you predicted Geico 16 000 into 23 000. just make it 50k it's easy you're nervous game just started 50 easy number to get to question I have for you as the table is
hcl_ivey_persson2_012,https://www.youtube.com/watch?v=7zPe4CYMjRE&t=4343s,4343,4553,needs_manual_verification,what's going on in the chat they still upset about that flat call with the boat if you don't think you're getting called by worse when the diamond gets there now you kick yourself when Garrick's the one that actually hit diamonds right yeah if Garrett hit a backdoor flush he would pay [Applause] and the last question you have to ask yourself that hand is is Garrett sick enough to turn a queen into a bluff at that point if he can figure out what you made [Applause] I think it's if you check raise
hcl_ivey_persson2_013,https://www.youtube.com/watch?v=7zPe4CYMjRE&t=4669s,4669,4879,needs_manual_verification,to your point from earlier this is a flop that certainly favors Andy's range it's not gonna work this time no and look at this Garrett floating in position with another player behind yeah Garrett floating hoping that hoping that chair I was folding right yeah he might have picked up on something that oh Andy did so Andy picks up some equity and that's going to make him fire again little does he know that Jr actually has a check mark he can't lose the hand unless he Folds between you and the mail
hcl_ivey_persson2_014,https://www.youtube.com/watch?v=7zPe4CYMjRE&t=4888s,4888,5098,needs_manual_verification,4X who's ready to do something big three bet from Jr takes you down easily yeah [Applause] Amanda's already asking for overtime we'll see see how it goes I'll tell you now it'll help I mean if we get over 10 000 likes that'll definitely help in the cause for overtime right absolutely yeah [Applause] why don't we give them tomorrow's lineup once we get to 6K Lakes well that's a great idea is that a deal yeah I'll give you one little tip Bart Hanson will be commentating is flying in from the
hcl_ivey_persson2_015,https://www.youtube.com/watch?v=7zPe4CYMjRE&t=5096s,5096,5306,needs_manual_verification,[Applause] there was a better call The Flop so I don't think you're worried about a 10 too often I was saying like 10 extra Hearts right type hands no I thought Andy would go larger here to be honest I thought it was pretty clear Dustin had an ace maybe just because I can see it but the way he's played it he pays him off good call Dustin perhaps a sizing issue there and you just mentioned that Andy chose the perfect sizing against Eric person [Applause] to the pretty big pot just a whole home We
